hour,G01_B01,G02_B01,G03_B01,G04_B01,G05_B02,G06_B02,G07_B02,G08_B02,G09_B07,G10_B07,G11_B07,G12_B13,G13_B13,G14_B13,G15_B14,G16_B15,G17_B15,G18_B15,G19_B15,G20_B15,G21_B15,G22_B16,G23_B18,G24_B21,G25_B22,G26_B22,G27_B22,G28_B22,G29_B22,G30_B22,G31_B23,G32_B23,G33_B23
1,16.000000000135,16.000000000135,15.2000000014451,15.2000000014451,16.000000000135,16.000000000135,15.2000000014456,15.2000000014456,25.000000000409,25.000000000409,25.000000000409,69.0000000003791,69.0000000003791,69.0000000003791,0,2.40000000031754,2.40000000031754,2.40000000031754,2.40000000031754,2.40000000031754,54.3000000019841,54.300000001986,388.249995733389,388.250004267863,49.9999999964157,49.9999999964157,49.9999999964157,49.9999999964157,49.9999999964157,49.9999999964157,54.3000000019962,54.3000000019962,140.000000002018
2,16.0000000001349,16.0000000001349,15.2000000014232,15.2000000014232,16.0000000001349,16.0000000001349,15.2000000014234,15.2000000014234,25.0000000004074,25.0000000004074,25.0000000004074,69.0000000003777,69.0000000003777,69.0000000003777,0,2.40000000031608,2.40000000031608,2.40000000031608,2.40000000031608,2.40000000031608,54.3000000019483,54.300000001949,345.499999664947,345.500000337096,49.9999999963368,49.9999999963368,49.9999999963368,49.9999999963368,49.9999999963368,49.9999999963368,54.3000000019503,54.3000000019503,140.00000000197
3,16.0000000001348,16.0000000001348,15.2000000014205,15.2000000014205,16.0000000001349,16.0000000001349,15.2000000014207,15.2000000014207,25.0000000004071,25.0000000004071,25.0000000004071,69.0000000003775,69.0000000003775,69.0000000003775,0,2.40000000031596,2.40000000031596,2.40000000031596,2.40000000031596,2.40000000031596,54.3000000019435,54.300000001944,316.99999968541,317.000000316792,49.9999999963166,49.9999999963166,49.9999999963166,49.9999999963166,49.9999999963166,49.9999999963166,54.300000001945,54.300000001945,140.000000001964
4,16.0000000001348,16.0000000001348,15.200000001418,15.200000001418,16.0000000001348,16.0000000001348,15.2000000014182,15.2000000014182,25.0000000004069,25.0000000004069,25.0000000004069,69.0000000003774,69.0000000003774,69.0000000003774,0,2.40000000031585,2.40000000031585,2.40000000031585,2.40000000031585,2.40000000031585,54.3000000019391,54.3000000019396,288.499999792087,288.50000021023,49.9999999963032,49.9999999963032,49.9999999963032,49.9999999963032,49.9999999963032,49.9999999963032,54.3000000019403,54.3000000019403,140.00000000196
5,16.0000000001348,16.0000000001348,15.2000000014207,15.2000000014207,16.0000000001349,16.0000000001349,15.2000000014209,15.2000000014209,25.0000000004071,25.0000000004071,25.0000000004071,69.0000000003775,69.0000000003775,69.0000000003775,0,2.40000000031596,2.40000000031596,2.40000000031596,2.40000000031596,2.40000000031596,54.3000000019435,54.3000000019441,316.999999681913,317.000000320267,49.9999999963202,49.9999999963202,49.9999999963202,49.9999999963202,49.9999999963202,49.9999999963202,54.3000000019455,54.3000000019455,140.000000001964
6,16.0000000001452,16.0000000001452,15.2000000057352,15.2000000057352,16.0000000001452,16.0000000001452,15.200000005732,15.200000005732,25.0000000005176,25.0000000005176,25.0000000005176,69.0000000004706,69.0000000004706,69.0000000004706,0,2.40000000037881,2.40000000037881,2.40000000037881,2.40000000037881,2.40000000037881,63.8415584354765,63.8415584969277,399.999999998082,399.999999998083,49.9999999987435,49.9999999987435,49.9999999987435,49.9999999987435,49.9999999987435,49.9999999987435,63.841558928913,63.8415589289129,163.833765192772
7,16.0000000001461,16.0000000001461,15.2000000075014,15.2000000075014,16.0000000001461,16.0000000001461,15.200000007503,15.200000007503,25.0000000005305,25.0000000005305,25.0000000005305,69.0000000004813,69.0000000004813,69.0000000004813,0,2.4000000003855,2.4000000003855,2.4000000003855,2.4000000003855,2.4000000003855,113.804849211353,113.804849213998,399.999999998243,399.999999998244,49.999999998813,49.999999998813,49.999999998813,49.999999998813,49.999999998813,49.999999998813,113.804849217848,113.804849217848,248.980603114031
8,16.0000000001514,16.0000000001514,20.0000000189291,20.0000000189291,16.0000000001513,16.0000000001513,20.000000024997,20.000000024997,25.0000000005932,25.0000000005932,25.0000000005932,69.0000000005356,69.0000000005356,69.0000000005356,0,2.40000000041822,2.40000000041822,2.40000000041822,2.40000000041822,2.40000000041822,154.999999982401,154.999999982796,399.999999998643,399.999999998642,49.999999999024,49.999999999024,49.999999999024,49.999999999024,49.999999999024,49.999999999024,154.99999998308,154.99999998308,349.999999983277
9,16.0000000001512,16.0000000001512,62.7500000352003,62.7500000352003,16.0000000001512,16.0000000001512,62.7499999806907,62.7499999806907,25.0000000006041,25.0000000006041,25.0000000006041,69.0000000005416,69.0000000005416,69.0000000005416,0,2.40000000042236,2.40000000042236,2.40000000042236,2.40000000042236,2.40000000042236,154.999999994207,154.9999999942,399.999999998739,399.999999998739,49.9999999990618,49.9999999990618,49.9999999990618,49.9999999990618,49.9999999990618,49.9999999990618,154.999999994159,154.999999994159,349.999999993491
10,16.0000000002039,16.0000000002039,75.9999999994138,75.9999999994138,16.0000000002039,16.0000000002039,75.9999999994138,75.9999999994138,35.8333333246205,35.8333333246205,35.8333333246205,69.0000000084673,69.0000000084673,69.0000000084673,0,2.4000000015734,2.4000000015734,2.4000000015734,2.4000000015734,2.4000000015734,154.999999999472,154.999999999472,399.999999999601,399.999999999601,49.9999999996399,49.9999999996399,49.9999999996399,49.9999999996399,49.9999999996399,49.9999999996399,154.999999999473,154.999999999473,349.999999999467
11,16.0000000001455,16.0000000001455,75.9999999990798,75.9999999990798,16.000000000148,16.000000000148,75.9999999990807,75.9999999990807,26.3333333298191,26.3333333298191,26.3333333298191,69.0000000068075,69.0000000068075,69.0000000068075,0,2.40000000028203,2.40000000028203,2.40000000028203,2.40000000028203,2.40000000028203,154.999999999192,154.999999999193,399.999999999431,399.999999999432,49.9999999994963,49.9999999994963,49.9999999994963,49.9999999994963,49.9999999994963,49.9999999994963,154.999999999196,154.999999999196,349.999999999182
