hour,dispatch_energy_cost_approx,reserve_cost_from_flow,dispatch_total_cost_approx
1,42285.5516657744,0,42285.5516657744
2,41894.0139276478,0,41894.0139276478
3,41633.8538151479,0,41633.8538151479
4,41374.3857396478,0,41374.3857396478
5,41633.8538151478,0,41633.8538151478
6,43221.7344558013,0,43221.7344558013
7,47174.7489610702,0,47174.7489610702
8,51397.1336761289,0,51397.1336761289
9,54347.1146115738,0,54347.1146115738
10,56826.5453274298,0,56826.5453274298
11,55488.8709614814,0,55488.8709614814
12,54858.8800699429,0,54858.8800699429
13,53841.0925729477,0,53841.0925729477
14,53340.8139540724,0,53340.8139540724
15,54347.1146115741,0,54347.1146115741
16,58192.7415814689,0,58192.7415814689
17,63839.4903176117,0,63839.4903176117
18,72436.2570848081,0,72436.2570848081
19,75329.1849246175,0,75329.1849246175
20,69556.9987037039,0,69556.9987037039
21,58192.7415814682,0,58192.7415814682
22,51397.1336761294,0,51397.1336761294
23,47174.7489610702,0,47174.7489610702
24,43993.3315609348,0,43993.3315609348
