hour,dispatch_energy_cost_approx,reserve_cost_from_flow,dispatch_total_cost_approx
1,42285.5516652658,766.121000000483,43051.6726652663
2,41894.0139271408,727.098800000477,42621.1127271413
3,41633.8538146408,701.08400000048,42334.9378146413
4,41374.3857391408,675.069200000483,42049.4549391413
5,41633.8538146408,701.084000000489,42334.9378146413
6,43221.7344553423,805.143200000493,44026.8776553428
7,47174.7489606145,935.217200000497,48109.966160615
8,51397.1336756009,1065.29120000046,52462.4248756014
9,54347.1146111009,1177.19000000054,55524.3046111015
10,56826.5453269345,1244.5250000004,58071.0703269349
11,55488.8709609346,1230.5600000004,56719.430960935
12,54858.8800694759,1204.83500000054,56063.7150694765
13,53841.0925724759,1149.54500000054,54990.6375724765
14,53340.8139536009,1121.90000000047,54462.7139536013
15,54347.1146111009,1177.19000000054,55524.3046111015
16,58192.7415809345,1258.49000000039,59451.2315809349
17,63845.629156436,1314.35000000039,65159.9791564364
18,72483.4249438063,1400.80549976469,73884.230443571
19,75376.3541364362,1449.72394649349,76826.0780829297
20,69587.6221820871,1370.21000000051,70957.8321820876
21,58192.7415809345,1258.49000000039,59451.2315809349
22,51397.1336756009,1065.29120000046,52462.4248756014
23,47174.7489606145,935.217200000507,48109.966160615
24,43993.3315604781,831.158000000516,44824.4895604786
