hour,L23_14_16,L28_16_17,L12_08_09,L07_03_24,L10_06_10
1,61.563250702142,76.3915272914646,39.4739344952967,48.3988447810935,41.5944495871348
2,56.8196871284432,69.5827071628098,36.4798907729209,44.796195922399,39.2624275926886
3,53.6573114126418,65.0434937436355,34.4838616246709,42.3944300166076,37.7077462630566
4,50.4949356968403,60.5042803244576,32.487832476421,39.9926641108163,36.1530649334245
5,53.6573114126418,65.0434937436355,34.4838616246709,42.3944300166076,37.7077462630566
6,64.6266819134137,77.3033527744991,42.3414395027429,50.8354699822818,44.2083476910162
7,73.2012775592407,73.0760733324477,51.7738766465991,57.7972972373732,53.2018233799032
8,80.4071266462562,68.7340354781506,60.9326566700226,63.32428182588,60.0663414877255
9,77.1922103602,66.6246692866471,64.4226000368019,57.1894682755659,45.904984486997
10,75.3585889156317,65.49062278959,57.1456117280547,54.6457124837019,42.8844088541656
11,76.0927361149177,65.9117794195762,64.47551941644,55.2089797772551,41.6842371217401
12,76.6563909791905,66.2731082547299,65.0042572645983,56.1669993505134,43.5447583202088
13,77.7280297412096,66.9762303185643,63.8409428090054,58.2119372006185,48.2652106537856
14,78.2638491222196,67.3277913504816,63.259285581209,59.2344061256716,50.625436820575
15,77.1922103602,66.6246692866472,64.4226000368019,57.189468275566,45.9049844869971
16,74.6244417163458,65.0694661596039,49.8157040396729,54.0824451901489,44.0845805865911
17,71.969042704007,63.0966606960823,46.2509492245579,53.730821577525,48.4370295884139
18,68.1347590042342,59.9849387909515,54.5341385905887,54.2096932574788,54.7284809387353
19,66.8241093994311,58.9810623712084,54.3134043086415,54.1491753239498,56.877526598623
20,69.4157317027105,61.0192297562319,52.0366907691146,54.0695317038116,52.6267425272511
21,74.6244417163459,65.0694661596039,49.8157040396733,54.082445190149,44.0845805865911
22,80.4071266462562,68.7340354781506,60.9326566700227,63.32428182588,60.0663414877253
23,73.2012775592406,73.0760733324477,51.7738766465991,57.7972972373732,53.2018233799032
24,66.3416010425787,76.4578968860888,44.2279269315141,52.2278354332999,46.0070428287938
