hour,G01_B01,G02_B01,G03_B01,G04_B01,G05_B02,G06_B02,G07_B02,G08_B02,G09_B07,G10_B07,G11_B07,G12_B13,G13_B13,G14_B13,G15_B14,G16_B15,G17_B15,G18_B15,G19_B15,G20_B15,G21_B15,G22_B16,G23_B18,G24_B21,G25_B22,G26_B22,G27_B22,G28_B22,G29_B22,G30_B22,G31_B23,G32_B23,G33_B23
1,3.99999999998576,3.99999999998576,16.4361584232239,16.4361582726323,3.99999999998508,3.99999999998508,16.4013416895268,16.4013416145822,3.79104402629777e-11,3.79104402629773e-11,3.79104402626465e-11,7.6795793372175e-12,7.67957933721749e-12,7.6795793372169e-12,0,9.59999999997248,9.59999999997248,9.59999999997248,9.59999999997248,9.59999999997248,1.16126051520434e-11,1.16115879798299e-11,2.9370883934942e-12,2.92746096220046e-12,6.95676306426897e-12,6.95676306431033e-12,6.95676333133728e-12,6.95676418962047e-12,6.95676304520152e-12,6.95676335036337e-12,1.16035019637969e-11,1.16035019637141e-11,3.46193423659739e-12
2,3.99999999998711,3.99999999998711,14.9354383098761,14.9354381172657,3.99999999998633,3.99999999998633,14.9095617549203,14.909561817896,3.80086185569504e-11,3.8008618556948e-11,3.8008618556948e-11,7.65940027674524e-12,7.65940027674584e-12,7.65940027674584e-12,0,9.5999999999726,9.5999999999726,9.5999999999726,9.5999999999726,9.5999999999726,1.15845390281477e-11,1.15842687656553e-11,2.99566245806912e-12,2.98643026000591e-12,7.11859510685754e-12,7.11859422210495e-12,7.11859331778861e-12,7.11859510681619e-12,7.11859422214631e-12,7.11859392715985e-12,1.1574099550894e-11,1.15740995508935e-11,3.47733847520916e-12
3,3.99999999998642,3.99999999998642,13.9346913965608,13.9346913888822,3.999999999986,3.999999999986,13.9153087066237,13.9153085078927,3.81157889035598e-11,3.81157889035595e-11,3.81157889035595e-11,7.64870049050581e-12,7.64870049050581e-12,7.64870049050581e-12,0,9.59999999997266,9.59999999997266,9.59999999997266,9.59999999997266,9.59999999997266,1.15715968659709e-11,1.15718066107433e-11,3.00616335196436e-12,2.99729977267687e-12,7.17441641228507e-12,7.17441613491851e-12,7.1744164222117e-12,7.17441580816696e-12,7.17441734332016e-12,7.17441673903661e-12,1.15624621985537e-11,1.15624621984711e-11,3.47780351193795e-12
4,3.99999999998544,3.99999999998544,12.9356286900086,12.9356286515052,3.99999999998534,3.99999999998534,12.9193713118316,12.9193713466163,3.82728478392917e-11,3.82728478392865e-11,3.82728478392893e-11,7.64294571753739e-12,7.64294571753739e-12,7.64294571753729e-12,0,9.59999999997273,9.59999999997273,9.59999999997273,9.59999999997273,9.59999999997273,1.15635486653995e-11,1.15640412471034e-11,3.0099942004213e-12,3.00148700266284e-12,7.21013402752415e-12,7.21013525271793e-12,7.21013463515773e-12,7.21013463515773e-12,7.21013463515773e-12,7.210135561436e-12,1.15557982806959e-11,1.15557982806959e-11,3.47755630018848e-12
5,3.99999999998388,3.99999999998388,13.9332413046036,13.9332414120342,3.99999999998399,3.99999999998399,13.9167586411235,13.9167586422065,3.81935631975085e-11,3.81935631975085e-11,3.81935631975086e-11,7.65542758489865e-12,7.65542758489865e-12,7.65542758489875e-12,0,9.59999999997271,9.59999999997271,9.59999999997271,9.59999999997271,9.59999999997271,1.15851108100865e-11,1.1585720853073e-11,3.00920947883682e-12,3.00121421059772e-12,7.17657399477171e-12,7.17658708282338e-12,7.17657429265326e-12,7.17657459057617e-12,7.17658648697756e-12,7.17658648689484e-12,1.1577246041262e-11,1.15772460412619e-11,3.482930944305e-12
6,3.99999999998271,3.99999999998271,17.9243830551631,17.9243828792016,3.99999999998272,3.99999999998272,17.9056171110705,17.9056169545693,3.81928737685794e-11,3.81928737685766e-11,3.81928737685766e-11,7.72462163998849e-12,7.72462163998849e-12,7.72462163998849e-12,0,9.59999999997255,9.59999999997255,9.59999999997255,9.59999999997255,9.59999999997255,1.17033895970419e-11,1.17034603209248e-11,1.70626844502472e-12,1.70292776345205e-12,2.27671584339345e-12,2.27671560513189e-12,2.27671584341413e-12,2.27671596476808e-12,2.27671584339345e-12,2.2767159647474e-12,1.1691100494071e-11,1.16911004939881e-11,3.50212803047212e-12
7,3.9999999999822,3.9999999999822,22.9040297795496,22.9040301821594,3.99999999998203,3.99999999998203,22.9009697541798,22.9009702841224,3.73258149788632e-11,3.73258149788656e-11,3.7325814978866e-11,7.80987035779739e-12,7.80987035779739e-12,7.80987035779739e-12,0,9.5999999999724,9.5999999999724,9.5999999999724,9.5999999999724,9.5999999999724,1.17282613645502e-11,1.17248896529858e-11,1.63157925212152e-12,1.62716254917628e-12,2.12825476179248e-12,2.12825488868876e-12,2.12825501337221e-12,2.12825519372789e-12,2.12825519370721e-12,2.12825519151506e-12,1.17122704091558e-11,1.17122704091558e-11,3.51451035671936e-12
8,3.99999999998328,3.99999999998328,27.8902556246732,27.8902556812837,3.99999999998292,3.99999999998292,27.8897442069704,27.8897444870947,3.87633490618397e-11,3.87633490618398e-11,3.87633490618397e-11,7.98373148053435e-12,7.98373148053435e-12,7.98373148053385e-12,0,9.59999999997255,9.59999999997255,9.59999999997255,9.59999999997255,9.59999999997255,7.25282186401444e-12,7.25037010337677e-12,1.42404952377984e-12,1.42306984068128e-12,1.80425575217869e-12,1.80425581332103e-12,1.8042558111599e-12,1.80425586793861e-12,1.80425586793861e-12,1.80425622609638e-12,7.2419425632946e-12,7.2419425632946e-12,3.08438936139586e-12
9,3.999999999979,3.999999999979,13.2499999999462,13.2499999999462,3.99999999997947,3.99999999997947,13.2499999999451,13.249999999945,23.5100001032738,23.5099999905771,23.5099999064858,1.01529265587137e-11,1.01529265587137e-11,1.01529265587138e-11,0,9.59999999997975,9.59999999997975,9.59999999997975,9.59999999997975,9.59999999997975,5.58008089183646e-12,5.57811300616911e-12,1.32371755230861e-12,1.32322154355232e-12,1.64292392825984e-12,1.64292399106684e-12,1.64292411221385e-12,1.64292392825984e-12,1.64292405387385e-12,1.64292405161967e-12,5.57829605626726e-12,5.57829605407496e-12,2.75123193666864e-12
10,3.99999999998049,3.99999999998049,1.01474746595714e-12,1.01474742809024e-12,3.99999999998061,3.99999999998061,1.01525996949218e-12,1.01525996949218e-12,43.1716666777656,43.1716665927703,43.1716667296047,1.05162440116675e-11,1.05162440116675e-11,1.05162440116675e-11,0,9.59999999997905,9.59999999997905,9.59999999997905,9.59999999997905,9.59999999997905,8.65220449694267e-13,8.64482317788036e-13,5.98989093847461e-13,6.00119521251748e-13,6.37344947189384e-13,6.37344976571419e-13,6.37344947189384e-13,6.37344962973891e-13,6.37345006501491e-13,6.37345005963794e-13,8.62156140286887e-13,8.62156140286887e-13,7.69021506293109e-13
11,3.99999999997978,3.99999999997978,1.05881523035776e-12,1.05881526828669e-12,3.99999999998001,3.99999999998001,1.05876736336826e-12,1.05876736336826e-12,42.506666376733,42.5066670732934,42.5066665501166,1.03360433830679e-11,1.03360433830674e-11,1.03360433830674e-11,0,9.59999999997908,9.59999999997908,9.59999999997908,9.59999999997908,9.59999999997908,8.9643418224134e-13,8.9519767396485e-13,6.10642560253448e-13,6.12490083678574e-13,6.55093289340423e-13,6.55093303496328e-13,6.55093332366515e-13,6.55093376468001e-13,6.5509340695645e-13,6.55093405881056e-13,8.92999941592735e-13,8.92999942388961e-13,7.93571966467038e-13
12,3.99999999997922,3.99999999997922,6.12499999994136,6.1249999999414,3.99999999997959,3.99999999997959,6.12499999994941,6.12499999994947,33.6749999784141,33.6749996456029,33.6750003763226,1.02680807404415e-11,1.02680807404414e-11,1.02680807404414e-11,0,9.59999999997962,9.59999999997962,9.59999999997962,9.59999999997962,9.59999999997962,5.07752728676346e-12,5.07735734394449e-12,1.28653576269161e-12,1.28648321026042e-12,1.58991263550429e-12,1.58991282113332e-12,1.58991276001182e-12,1.58991275999114e-12,1.58991275776797e-12,1.58991282338751e-12,5.09024027822072e-12,5.0902402484387e-12,2.59939687110404e-12
13,3.99999999997878,3.99999999997878,20.3749999999466,20.3749999999466,3.9999999999795,3.9999999999795,20.3749999999457,20.3749999999457,13.345000041871,13.34500005553,13.3449999029302,1.02272176002265e-11,1.02272176002264e-11,1.02272176002265e-11,0,9.59999999998008,9.59999999998008,9.59999999998008,9.59999999998008,9.59999999998008,5.92566730754867e-12,5.92675639524165e-12,1.35808213084708e-12,1.35537363599195e-12,1.68364021359403e-12,1.68364027920322e-12,1.68364040364871e-12,1.68364021359403e-12,1.6836403425789e-12,1.68364034030404e-12,5.92471652126333e-12,5.9247164653802e-12,2.85244324838762e-12
14,3.99999999998403,3.99999999998403,27.4999999999561,27.499999999956,3.99999999998462,3.99999999998462,27.4999999999551,27.4999999999551,3.18000000009969,3.18000000009968,3.18000000004504,1.24967660377223e-11,1.24967660377223e-11,1.24967660377223e-11,0,9.59999999998386,9.59999999998386,9.59999999998386,9.59999999998386,9.59999999998386,6.44606613336281e-12,6.44497476398947e-12,1.39085784588002e-12,1.38881238466443e-12,1.72719181780175e-12,1.72719181547519e-12,1.72719181780175e-12,1.72719181779141e-12,1.72719208329874e-12,1.72719202041951e-12,6.44267633355649e-12,6.44267625360095e-12,3.00251851701101e-12
15,3.99999999997901,3.99999999997901,13.2499999999464,13.2499999999464,3.99999999997951,3.99999999997951,13.2499999999452,13.2499999999453,23.5099997984018,23.5100000999584,23.5100001019756,1.01540852887159e-11,1.01540852887166e-11,1.01540852887159e-11,0,9.59999999997975,9.59999999997975,9.59999999997975,9.59999999997975,9.59999999997975,5.58118825634702e-12,5.57952848981008e-12,1.32790330636644e-12,1.32576412852668e-12,1.64422995318478e-12,1.64422983193438e-12,1.64422989479309e-12,1.64423033254984e-12,1.64423001602281e-12,1.64423008112536e-12,5.5799856034091e-12,5.57998550897477e-12,2.75411644962775e-12
16,3.99999999998201,3.99999999998201,9.80578654281639e-13,9.8057865516058e-13,3.99999999998183,3.99999999998183,9.80410308782518e-13,9.80410308782518e-13,43.8366665787481,43.8366667479719,43.8366666734152,1.04958779621624e-11,1.04958779621624e-11,1.04958779621625e-11,0,9.59999999997912,9.59999999997912,9.59999999997912,9.59999999997912,9.59999999997912,8.39554207380894e-13,8.39857414028338e-13,5.84855881139559e-13,5.85180717667666e-13,6.23650112966706e-13,6.23650142860589e-13,6.23650275470105e-13,6.23650261340049e-13,6.23650128187666e-13,6.23650274932408e-13,8.36311272362142e-13,8.36311125763762e-13,7.48249576022013e-13
17,3.99999999998182,3.99999999998182,9.50272444453556e-13,9.50272527228918e-13,3.99999999998188,3.99999999998188,9.48869543605497e-13,9.4886952154413e-13,46.4966666666995,46.4966666666995,46.4966666666996,1.61700193443487e-11,1.61700193443487e-11,1.61700193443487e-11,0,9.59999999998309,9.59999999998309,9.59999999998309,9.59999999998309,9.59999999998309,8.18011405569302e-13,8.18539680219496e-13,5.71645817392689e-13,5.70710625659727e-13,6.1077612336931e-13,6.10776123912177e-13,6.10776153640589e-13,6.10776109053141e-13,6.10776063369619e-13,6.10776138223176e-13,8.1644068210229e-13,8.16440734709807e-13,7.31448373425738e-13
18,3.9999999999965,3.9999999999965,1.48713917006651e-12,1.48713917007685e-12,3.9999999999965,3.9999999999965,1.48629776327351e-12,1.48629768018902e-12,50.028677016394,50.028677016394,50.028677016394,0.45798965027814,0.457989650278103,0.457989650277923,0,9.59999999999593,9.59999999999593,9.59999999999593,9.59999999999593,9.59999999999593,1.211169643385e-12,1.20993278890981e-12,7.66713136153778e-13,7.63599369285661e-13,8.31718057399384e-13,8.31718184150042e-13,8.31718310895529e-13,8.31718184150042e-13,8.31718112430139e-13,8.31718076565018e-13,1.20824494883818e-12,1.20824492713885e-12,1.0505527439233e-12
19,3.99999999999042,3.99999999999042,9.7239089738746e-13,9.72390945010151e-13,3.99999999999043,3.99999999999043,9.72894703471234e-13,9.72894702494066e-13,47.7524146918961,47.7524146918961,47.7524146918961,4.06425197086478,4.06425197575166,4.0642519777741,0,9.59999999998974,9.59999999998974,9.59999999998974,9.59999999998974,9.59999999998974,8.34963272666019e-13,8.35826411456278e-13,5.82809892140393e-13,5.821126027321e-13,6.1783734170053e-13,6.17837162058702e-13,6.1783712934203e-13,6.1783734170053e-13,6.17837079413948e-13,6.17837113268052e-13,8.33667123905997e-13,8.33667163716813e-13,7.44900380706354e-13
20,3.99999999998852,3.99999999998852,9.66075525610316e-13,9.66075525615485e-13,3.99999999998854,3.99999999998854,9.65474203156166e-13,9.65474135891728e-13,49.1566666666464,49.1566666666463,49.1566666666464,5.2067530661321e-11,5.20675306613161e-11,5.2067530661317e-11,0,9.59999999998805,9.59999999998805,9.59999999998805,9.59999999998805,9.59999999998805,8.31179231177311e-13,8.29589966812724e-13,5.82051071296696e-13,5.78024692192702e-13,6.16841886522786e-13,6.16841838486927e-13,6.16841792157217e-13,6.16841823793362e-13,6.16841902338273e-13,6.16841886522786e-13,8.26465355338418e-13,8.26465374561412e-13,7.39639447137955e-13
