hour,G01_B01,G02_B01,G03_B01,G04_B01,G05_B02,G06_B02,G07_B02,G08_B02,G09_B07,G10_B07,G11_B07,G12_B13,G13_B13,G14_B13,G15_B14,G16_B15,G17_B15,G18_B15,G19_B15,G20_B15,G21_B15,G22_B16,G23_B18,G24_B21,G25_B22,G26_B22,G27_B22,G28_B22,G29_B22,G30_B22,G31_B23,G32_B23,G33_B23,G34_B15
1,16.0000000000117,16.0000000000117,15.2000000001226,15.2000000001226,16.0000000000117,16.0000000000117,15.2000000001226,15.2000000001226,25.0000000000351,25.0000000000351,25.0000000000351,69.0000000000325,69.0000000000325,69.0000000000325,0,2.4000000000273,2.4000000000273,2.4000000000273,2.4000000000273,2.4000000000273,54.3000000001679,54.3000000001679,388.250000025145,388.250000027465,49.9999999996813,49.9999999996813,49.9999999996813,49.9999999996813,49.9999999996813,49.9999999996813,54.3000000001679,54.3000000001679,140.000000000169,-5.24150422839668e-08
2,16.0000000000117,16.0000000000117,15.2000000001224,15.2000000001224,16.0000000000117,16.0000000000117,15.2000000001224,15.2000000001224,25.000000000035,25.000000000035,25.000000000035,69.0000000000325,69.0000000000325,69.0000000000325,0,2.40000000002729,2.40000000002729,2.40000000002729,2.40000000002729,2.40000000002729,54.3000000001676,54.3000000001676,345.500000082007,345.500000083362,49.99999999968,49.99999999968,49.99999999968,49.99999999968,49.99999999968,49.99999999968,54.3000000001676,54.3000000001676,140.000000000169,-1.65164636307946e-07
3,16.0000000000117,16.0000000000117,15.2000000001223,15.2000000001223,16.0000000000117,16.0000000000117,15.2000000001223,15.2000000001223,25.000000000035,25.000000000035,25.000000000035,69.0000000000325,69.0000000000325,69.0000000000325,0,2.40000000002729,2.40000000002729,2.40000000002729,2.40000000002729,2.40000000002729,54.3000000001674,54.3000000001674,324.891304482554,324.891304483634,49.9999999996794,49.9999999996794,49.9999999996794,49.9999999996794,49.9999999996794,49.9999999996794,54.3000000001674,54.3000000001674,140.000000000169,-15.7826089659785
4,16.0000000000117,16.0000000000117,15.2000000001223,15.2000000001223,16.0000000000117,16.0000000000117,15.2000000001223,15.2000000001223,25.000000000035,25.000000000035,25.000000000035,69.0000000000325,69.0000000000325,69.0000000000325,0,2.40000000002729,2.40000000002729,2.40000000002729,2.40000000002729,2.40000000002729,54.3000000001674,54.3000000001674,324.89130377679,324.891303777983,49.9999999996794,49.9999999996794,49.9999999996794,49.9999999996794,49.9999999996794,49.9999999996794,54.3000000001674,54.3000000001674,140.000000000169,-72.7826075545639
5,16.0000000000117,16.0000000000117,15.2000000001223,15.2000000001223,16.0000000000117,16.0000000000117,15.2000000001223,15.2000000001223,25.000000000035,25.000000000035,25.000000000035,69.0000000000325,69.0000000000325,69.0000000000325,0,2.40000000002729,2.40000000002729,2.40000000002729,2.40000000002729,2.40000000002729,54.3000000001674,54.3000000001674,324.891304674592,324.891304675673,49.9999999996794,49.9999999996794,49.9999999996794,49.9999999996794,49.9999999996794,49.9999999996794,54.3000000001674,54.3000000001674,140.000000000169,-15.7826093500549
6,16.0000000000125,16.0000000000125,15.2000000004782,15.2000000004782,16.0000000000125,16.0000000000125,15.2000000004782,15.2000000004782,25.0000000000445,25.0000000000445,25.0000000000445,69.0000000000405,69.0000000000405,69.0000000000405,0,2.40000000003272,2.40000000003272,2.40000000003272,2.40000000003272,2.40000000003272,63.8415586283372,63.8415586285444,399.999999999835,399.999999999835,49.9999999998913,49.9999999998913,49.9999999998913,49.9999999998913,49.9999999998913,49.9999999998913,63.8415586287884,63.8415586287884,163.833765482868,1.27400828669783e-09
7,16.0000000000126,16.0000000000126,15.2000000006573,15.2000000006573,16.0000000000126,16.0000000000126,15.2000000006573,15.2000000006573,25.0000000000457,25.0000000000457,25.0000000000457,69.0000000000414,69.0000000000414,69.0000000000414,0,2.40000000003334,2.40000000003334,2.40000000003334,2.40000000003334,2.40000000003334,113.804849222092,113.80484922226,399.999999999849,399.999999999849,49.9999999998977,49.9999999998977,49.9999999998977,49.9999999998977,49.9999999998977,49.9999999998977,113.804849222463,113.804849222463,248.980603109106,-5.75720995535248e-10
8,16.0000000000129,16.0000000000129,20.000000001092,20.000000001092,16.0000000000129,16.0000000000129,20.0000000011803,20.0000000011803,25.0000000000493,25.0000000000493,25.0000000000493,69.0000000000444,69.0000000000444,69.0000000000444,0,2.40000000003523,2.40000000003523,2.40000000003523,2.40000000003523,2.40000000003523,154.999999999123,154.999999999123,399.999999999879,399.999999999879,49.9999999999122,49.9999999999122,49.9999999999122,49.9999999999122,49.9999999999122,49.9999999999122,154.999999999123,154.999999999123,349.999999998929,2.93071160194875e-10
9,16.000000000013,16.000000000013,62.7500000006855,62.7500000006855,16.000000000013,16.000000000013,62.7500000007473,62.7500000007472,25.0000000000514,25.0000000000514,25.0000000000514,69.0000000000461,69.0000000000461,69.0000000000461,0,2.40000000003629,2.40000000003629,2.40000000003629,2.40000000003629,2.40000000003629,154.999999999492,154.999999999492,399.99999999989,399.99999999989,49.9999999999181,49.9999999999181,49.9999999999181,49.9999999999181,49.9999999999181,49.9999999999181,154.999999999492,154.999999999492,349.999999999432,-7.76685498955852e-11
10,16.0000000000134,16.0000000000134,75.9999999994501,75.9999999994501,16.0000000000134,16.0000000000134,75.9999999994501,75.9999999994501,25.0000000000576,25.0000000000576,25.0000000000576,69.000000000051,69.000000000051,69.000000000051,0,2.40000000003927,2.40000000003927,2.40000000003927,2.40000000003927,2.40000000003927,154.999999999753,154.999999999753,399.99999999991,399.99999999991,49.9999999999301,49.9999999999301,49.9999999999301,49.9999999999301,49.9999999999301,49.9999999999301,154.999999999753,154.999999999753,349.99999999974,32.5000000034696
11,16.0000000000134,16.0000000000134,75.99999999945,75.99999999945,16.0000000000134,16.0000000000134,75.99999999945,75.99999999945,25.0000000000576,25.0000000000576,25.0000000000576,69.000000000051,69.000000000051,69.000000000051,0,2.40000000003927,2.40000000003927,2.40000000003927,2.40000000003927,2.40000000003927,154.999999999753,154.999999999753,399.99999999991,399.99999999991,49.9999999999301,49.9999999999301,49.9999999999301,49.9999999999301,49.9999999999301,49.9999999999301,154.999999999753,154.999999999753,349.99999999974,4.00000000346845
12,16.0000000000131,16.0000000000131,69.8750000015967,69.8750000015967,16.0000000000131,16.0000000000131,69.8750000016546,69.8750000016546,25.0000000000518,25.0000000000518,25.0000000000518,69.0000000000464,69.0000000000464,69.0000000000464,0,2.40000000003647,2.40000000003647,2.40000000003647,2.40000000003647,2.40000000003647,154.999999999525,154.999999999525,399.999999999891,399.999999999891,49.999999999919,49.999999999919,49.999999999919,49.999999999919,49.999999999919,49.999999999919,154.999999999525,154.999999999525,349.999999999473,-3.90222124836063e-09
