hour,L23_14_16,L28_16_17,L12_08_09,L07_03_24,L10_06_10
1,61.5632507021736,76.3915272948759,39.47393449523,48.3988447807821,41.5944495871417
2,56.8196871286962,69.5827071736297,36.4798907727986,44.7961959215751,39.2624275928195
3,53.688720683166,66.0946641221135,34.475969504327,42.3217060364746,37.7253266546475
4,50.6397817498206,65.3518262089798,32.4514374103871,39.6572923789527,36.2341381417638
5,53.6887206839304,66.0946641476942,34.475969504135,42.3217060347048,37.7253266550753
6,64.6266819134182,77.3033527744847,42.3414395026885,50.8354699822372,44.2083476907772
7,73.2012775590365,73.0760733323404,51.7738766465211,57.7972972371607,53.2018233796136
8,80.4071266460102,68.7340354780982,60.932656669923,63.3242818255966,60.0663414872194
9,77.1922103600267,66.6246692865863,64.4226000367202,57.1894682753733,45.9049844866776
10,77.9342044104552,66.3944370013941,66.6586168652512,56.8072180656761,42.3660310300092
11,76.4097349451869,66.0230180918302,65.6463508179283,55.4750112336633,41.6204367743535
12,76.6563909787498,66.2731082545726,65.0042572644609,56.1669993500158,43.5447583194929
13,77.1994456926339,66.7907438683553,63.7304665747226,57.6078257688688,47.4683868801949
14,75.6749762487642,66.4193249663005,62.7182005318722,56.2756189613121,46.7227926567969
15,77.1922103578022,66.6246692858058,64.4226000362553,57.1894682728309,45.9049844833243
16,74.6244417165954,65.0694661596601,49.8157040417249,54.0824451904423,44.084580586536
17,71.9139206065396,63.153152890797,41.2021783401004,53.3580780627598,48.5248984099492
18,73.0130858804808,62.1572972948279,43.1307212040395,56.3211635833445,54.2128516057793
19,72.7900372482108,61.5891817982816,43.4699711754352,56.9404332565381,56.1977818400538
20,69.9641469577419,61.414459478824,41.106189113424,53.6567499241937,52.721663093291
21,74.6244417165612,65.0694661596481,49.8157040415986,54.0824451904135,44.0845805865428
22,80.4071266458748,68.7340354780506,60.9326566698947,63.3242818254419,60.0663414870155
23,73.2012775588442,73.0760733321103,51.7738766465013,57.797297236977,53.201823379658
24,64.5099949080731,74.2771732603798,44.0383919211164,50.4813161477804,46.4292487229512
