hour,storage_power_01
1,-5.24150422839668e-08
2,-1.65164636307946e-07
3,-15.7826089659785
4,-72.7826075545639
5,-15.7826093500549
6,1.27400828669783e-09
7,-5.75720995535248e-10
8,2.93071160194875e-10
9,-7.76685498955852e-11
10,32.5000000034696
11,4.00000000346845
12,-3.90222124836063e-09
13,-7.31190939882295
14,-35.8119091028164
15,-3.08497261441412e-08
16,2.64293457521232e-09
17,8.08367750043887e-09
18,65.7799999464353
19,79.9999999918589
20,8.78000004838403
21,2.21169258783432e-09
22,-1.57866164124344e-09
23,-8.85303616033522e-09
24,-78.2608695550051
