hour,storage_soc_01
1,120.000000047917
2,120.00000019957
3,134.520000447976
4,201.47999939788
5,215.999999999635
6,215.999999998089
7,215.999999998455
8,215.999999997979
9,215.999999997892
10,180.673913037523
11,176.326086946721
12,176.326086950225
13,183.053043597066
14,215.999999971581
15,215.999999999886
16,215.999999996978
17,215.999999988159
18,144.50000004635
19,57.5434783160373
20,48.0000000025449
21,48.0000000001054
22,48.0000000014491
23,48.0000000094926
24,120
