hour,dispatch_energy_cost_approx,reserve_cost_from_flow,dispatch_total_cost_approx
1,42285.5516652694,766.121000000659,43051.6726652701
2,41894.0139271519,727.098800000658,42621.1127271525
3,41705.8197143868,701.084000000658,42406.9037143875
4,41705.8197142944,675.069200000658,42380.888914295
5,41705.8197144134,701.084000000658,42406.9037144141
6,43221.7344553421,805.143200000658,44026.8776553428
7,47174.7489606147,935.217200000657,48109.9661606153
8,51397.133675601,1065.29120000062,52462.4248756016
9,54347.114611101,1177.19000000066,55524.3046111017
10,55303.4096435982,1244.52500000048,56547.9346435987
11,55303.4096435982,1230.56000000048,56533.9696435987
12,54858.8800694768,1204.83500000068,56063.7150694775
13,53841.1070734722,1149.54539426373,54990.6524677359
14,53816.4222198205,1134.90905753365,54951.3312773542
15,54347.1146111027,1177.1900000007,55524.3046111034
16,55303.4096435982,1258.49000000048,56561.8996435987
17,59861.1153804361,1314.35000000044,61175.4653804365
18,76022.7639160722,1475.96939083547,77498.7333069077
19,78330.8918309135,1513.57583252311,79844.4676634366
20,73733.597572235,1439.17091268722,75172.7684849223
21,65015.056284002,1288.98675537455,66304.0430393766
22,51079.8345230569,1065.29120000062,52145.1257230575
23,47174.7489606152,935.217200000657,48109.9661606159
24,45068.2134131345,831.158000000657,45899.3714131352
