hour,G01_B01,G02_B01,G03_B01,G04_B01,G05_B02,G06_B02,G07_B02,G08_B02,G09_B07,G10_B07,G11_B07,G12_B13,G13_B13,G14_B13,G15_B14,G16_B15,G17_B15,G18_B15,G19_B15,G20_B15,G21_B15,G22_B16,G23_B18,G24_B21,G25_B22,G26_B22,G27_B22,G28_B22,G29_B22,G30_B22,G31_B23,G32_B23,G33_B23,G34_B15
1,3.99999999996189,3.99999999996189,16.4142859383708,16.414401227445,3.99999999996189,3.99999999996189,16.4231533970652,16.4231594371698,4.43631387264213e-11,4.43631387264213e-11,4.43631387264213e-11,8.79930024610025e-12,8.79930024610025e-12,8.79930024610025e-12,0,9.59999999996653,9.59999999996653,9.59999999996653,9.59999999996653,9.59999999996653,1.34774092371463e-11,1.34774092371466e-11,3.28615842520406e-12,3.28615842520406e-12,8.08801122977964e-12,8.08801123054882e-12,8.08801125371084e-12,8.08801122765352e-12,8.08803650793723e-12,8.08801800628701e-12,1.34774092371463e-11,1.34774092371464e-11,3.88582237159264e-12,0
2,3.99999999996189,3.99999999996189,14.9163867915738,14.9163624989434,3.99999999996189,3.99999999996189,14.9285852317682,14.9286654777652,4.43631387233879e-11,4.43631387233879e-11,4.43631387233879e-11,8.79930024598231e-12,8.79930024598231e-12,8.79930024598231e-12,0,9.59999999996653,9.59999999996653,9.59999999996653,9.59999999996653,9.59999999996653,1.34774092368697e-11,1.34774092368697e-11,3.28615842532737e-12,3.28615842532741e-12,8.12526480223895e-12,8.12526407961186e-12,8.12526312873463e-12,8.12526460245997e-12,8.1252635676071e-12,8.12526226335475e-12,1.34774092368694e-11,1.34774092368697e-11,3.88582237156954e-12,0
3,3.99999999996189,3.99999999996189,13.9206334315005,13.9203382590536,3.99999999996189,3.99999999996189,13.9294886381336,13.9295396713627,4.43631387210996e-11,4.43631387210996e-11,4.43631387211002e-11,8.79930024589378e-12,8.79930024589362e-12,8.79930024589362e-12,0,9.59999999996653,9.59999999996653,9.59999999996653,9.59999999996653,9.59999999996653,1.34774092366614e-11,1.34774092366614e-11,3.28615842532559e-12,3.28615842532555e-12,8.14369165253726e-12,8.14368927652574e-12,8.14368929905268e-12,8.1436882262411e-12,8.14369049587252e-12,8.14368784571346e-12,1.34774092366611e-11,1.34774092366611e-11,3.88582237155217e-12,0
4,3.99999999996189,3.99999999996189,12.9248579305481,12.9248103823985,3.99999999996189,3.99999999996189,12.9301026381197,12.930229048984,4.43631387185185e-11,4.43631387185185e-11,4.43631387185185e-11,8.79930024579361e-12,8.79930024579345e-12,8.79930024579345e-12,0,9.59999999996653,9.59999999996653,9.59999999996653,9.59999999996653,9.59999999996653,1.34774092364264e-11,1.34774092364265e-11,3.28615842531101e-12,3.28615842531101e-12,8.14414269341782e-12,8.14412223572617e-12,8.14414239557674e-12,8.14413940015573e-12,8.1441435220313e-12,8.14413806613846e-12,1.34774092364265e-11,1.34774092364265e-11,3.88582237153278e-12,0
5,3.99999999996189,3.99999999996189,13.9241458373256,13.9241012454513,3.99999999996189,3.99999999996189,13.925862950772,13.9258899665014,4.43631387211041e-11,4.43631387211041e-11,4.43631387211035e-11,8.79930024589362e-12,8.79930024589362e-12,8.79930024589346e-12,0,9.59999999996653,9.59999999996653,9.59999999996653,9.59999999996653,9.59999999996653,1.34774092366614e-11,1.34774092366614e-11,3.28615842532564e-12,3.28615842532572e-12,8.14399534241405e-12,8.14399529414418e-12,8.14399436509353e-12,8.14400089780848e-12,8.14399532700894e-12,8.14399609767841e-12,1.34774092366614e-11,1.34774092366614e-11,3.88582237155225e-12,0
6,3.99999999996188,3.99999999996188,17.9160737114445,17.9159883277447,3.99999999996188,3.99999999996188,17.9140115730826,17.9139263878158,4.43631387290114e-11,4.43631387290114e-11,4.43631387290121e-11,8.7993002462009e-12,8.79930024620122e-12,8.79930024620122e-12,0,9.59999999996649,9.59999999996649,9.59999999996649,9.59999999996649,9.59999999996649,1.34774092373461e-11,1.34774092373461e-11,1.81643143144203e-12,1.81639499242973e-12,2.49401331495403e-12,2.49401498602697e-12,2.4940142064153e-12,2.49401489864131e-12,2.49401480122743e-12,2.49401465392429e-12,1.34774092373461e-11,1.34774092373461e-11,3.88582237161049e-12,0
7,3.99999999996188,3.99999999996188,22.9046516307083,22.9047586699596,3.99999999996188,3.99999999996188,22.9001454322818,22.9004442671389,4.43631387361569e-11,4.43631387361575e-11,4.43631387361569e-11,8.79930024648121e-12,8.79930024648121e-12,8.79930024648121e-12,0,9.59999999996649,9.59999999996649,9.59999999996649,9.59999999996649,9.59999999996649,1.34774092375309e-11,1.34774092375309e-11,1.73842831181134e-12,1.73850453992418e-12,2.34163715459703e-12,2.34162764280383e-12,2.34163749101239e-12,2.34163766131482e-12,2.34163737661925e-12,2.34163698097707e-12,1.34774092375309e-11,1.34774092375308e-11,3.88582237165177e-12,0
8,3.99999999996188,3.99999999996188,27.882727498214,27.8827793305949,3.99999999996188,3.99999999996188,27.8973427823546,27.8971503889484,4.43631387442199e-11,4.43631387442193e-11,4.43631387442199e-11,8.79930024679948e-12,8.79930024679948e-12,8.79930024679948e-12,0,9.59999999996647,9.59999999996647,9.59999999996647,9.59999999996647,9.59999999996647,8.35105845726198e-12,8.35172587866284e-12,1.54767232737956e-12,1.54774134813938e-12,1.99689125717459e-12,1.99689126303635e-12,1.99689497074957e-12,1.99689572579644e-12,1.99689562282453e-12,1.99689496131793e-12,8.35138179884145e-12,8.35138179530752e-12,3.43286040680225e-12,0
9,3.99999999997329,3.99999999997329,13.2499999999305,13.2499999999305,3.99999999997329,3.99999999997329,13.2499999999296,13.2499999999297,23.5100855634525,23.509940789717,23.5099736472655,1.09764466988842e-11,1.09764466988842e-11,1.09764466988842e-11,0,9.59999999997554,9.59999999997554,9.59999999997554,9.59999999997554,9.59999999997554,6.66259330939552e-12,6.6626195576568e-12,1.47490573673905e-12,1.47498845521228e-12,1.86793472931687e-12,1.86796794931937e-12,1.86796963178288e-12,1.86796794531713e-12,1.86796962281951e-12,1.86796964316197e-12,6.66269491168392e-12,6.66269407051572e-12,3.17661261219079e-12,0
10,3.99999999997328,3.99999999997328,1.22817111298469e-11,1.22817136786436e-11,3.99999999997328,3.99999999997329,1.22828103318296e-11,1.22828149146074e-11,43.1715913376962,43.1716188580355,43.1717898043877,1.09764466999161e-11,1.09764466999161e-11,1.09764466999161e-11,0,9.59999999997552,9.59999999997552,9.59999999997552,9.59999999997552,9.59999999997552,4.06796199258354e-12,4.06958013302551e-12,1.29569514903905e-12,1.29554345234661e-12,1.58362244178982e-12,1.58362287975792e-12,1.58362235449648e-12,1.5836228037312e-12,1.58362275966125e-12,1.58362271977837e-12,4.0682045757348e-12,4.06820453824954e-12,2.47596413735909e-12,0
11,3.99999999997329,3.99999999997329,1.22826385386212e-11,1.22826371460661e-11,3.99999999997329,3.99999999997329,1.22835375746225e-11,1.22835355476262e-11,42.5066185845415,42.5068227281971,42.5065586873808,1.09764466998775e-11,1.09764466998773e-11,1.09764466998775e-11,0,9.59999999997552,9.59999999997552,9.59999999997552,9.59999999997552,9.59999999997552,4.06941140358711e-12,4.06802753942234e-12,1.29753589009563e-12,1.29723225759545e-12,1.58283971908551e-12,1.58283971716833e-12,1.58283977294506e-12,1.58283979181948e-12,1.58283971692872e-12,1.58283971884584e-12,4.06927417843112e-12,4.06927418185131e-12,2.47460995665445e-12,0
12,3.99999999997329,3.99999999997329,6.12499999992026,6.12499999992025,3.99999999997329,3.99999999997329,6.12499999991947,6.12499999991948,33.6749556749646,33.6749389899045,33.6751053356081,1.09764466994183e-11,1.09764466994182e-11,1.09764466994183e-11,0,9.59999999997554,9.59999999997554,9.59999999997554,9.59999999997554,9.59999999997554,6.39742451715216e-12,6.39831452426279e-12,1.46341210448957e-12,1.46318564604993e-12,1.84624132130453e-12,1.84626963598274e-12,1.8462671819287e-12,1.84624063751935e-12,1.84626749800057e-12,1.84624132039358e-12,6.39813244397849e-12,6.39813244374884e-12,3.12061964992041e-12,0
13,3.99999999997329,3.99999999997329,20.3747946545785,20.3747946545785,3.99999999997329,3.99999999997329,20.3747946545775,20.3747946545775,13.345325528052,13.3453140390887,13.3451818147012,1.09764466983179e-11,1.09764466983179e-11,1.09764466983179e-11,0,9.59999999997554,9.59999999997554,9.59999999997554,9.59999999997554,9.59999999997554,6.95487152438214e-12,6.955904211944e-12,1.49162123922304e-12,1.49158958310454e-12,1.89110616271009e-12,1.8911059563732e-12,1.89110920378654e-12,1.89110614927321e-12,1.8911054454852e-12,1.89110602962327e-12,6.95470086635873e-12,6.95470088981351e-12,3.23601311133399e-12,0
14,3.99999999997329,3.99999999997329,20.7244492015001,20.7244492015,3.99999999997329,3.99999999997329,20.7244492014991,20.7244492014991,12.2141723568548,12.2139755766342,12.2140552606665,1.09764466984045e-11,1.09764466984045e-11,1.09764466984045e-11,0,9.59999999997554,9.59999999997554,9.59999999997554,9.59999999997554,9.59999999997554,6.96240076160794e-12,6.9629424140164e-12,1.48964041170128e-12,1.48955895373246e-12,1.89180023117688e-12,1.89180030983873e-12,1.89180022026684e-12,1.8918000401972e-12,1.89180026360337e-12,1.89180019046409e-12,6.96105015679782e-12,6.96105015745553e-12,3.23739740437304e-12,0
15,3.99999999997329,3.99999999997329,13.2499999999064,13.2499999999063,3.99999999997329,3.99999999997329,13.2499999999055,13.2499999999054,23.5099326178043,23.5100958124075,23.5099715703198,1.09764466988826e-11,1.09764466988826e-11,1.09764466988826e-11,0,9.59999999997554,9.59999999997554,9.59999999997554,9.59999999997554,9.59999999997554,6.66361379980096e-12,6.66218752540166e-12,1.47724273918094e-12,1.47734850180437e-12,1.86826683356051e-12,1.86826680571316e-12,1.86826684594882e-12,1.86826642850657e-12,1.86844737920364e-12,1.86826646840943e-12,6.66318736341265e-12,6.66318978294001e-12,3.1775779058603e-12,0
16,3.99999999997328,3.99999999997328,1.2282501965156e-11,1.22824086510669e-11,3.99999999997329,3.99999999997328,1.22811044193644e-11,1.22811055177166e-11,43.8365818291872,43.8368446321233,43.8365735388091,1.09764466999545e-11,1.09764466999545e-11,1.09764466999545e-11,0,9.59999999997552,9.59999999997552,9.59999999997552,9.59999999997552,9.59999999997552,4.06998226759382e-12,4.07026499712611e-12,1.29439932095354e-12,1.29436268372362e-12,1.58279705872671e-12,1.58279685326076e-12,1.5827968638186e-12,1.58279686077003e-12,1.58279686096408e-12,1.58279686912675e-12,4.07041769296266e-12,4.07041769031552e-12,2.47460468981842e-12,0
17,3.99999999997766,3.99999999997766,1.05184206759442e-12,1.05184205174258e-12,3.99999999997766,3.99999999997766,1.05164502813985e-12,1.05164504436786e-12,46.4966666667159,46.4966666667158,46.4966666667158,1.31241136815705e-11,1.31241136815705e-11,1.31241136815705e-11,0,9.59999999997833,9.59999999997833,9.59999999997833,9.59999999997833,9.59999999997833,8.95788000445268e-13,8.95734883529009e-13,6.14020698036325e-13,6.14094098383962e-13,6.66107562735602e-13,6.66107436147867e-13,6.66110697065852e-13,6.66107429990512e-13,6.66107554679426e-13,6.66107546212992e-13,8.95518163706554e-13,8.95518156613975e-13,7.93658037187499e-13,0
18,3.9999999999841,3.9999999999841,1.10701365642097e-12,1.10701363727422e-12,3.9999999999841,3.9999999999841,1.09258992409593e-12,1.09259164060055e-12,26.9020027772684,26.9020027772684,26.9020027772684,2.5350364997651e-11,2.5350364997651e-11,2.53503649976507e-11,0,9.59999999998486,9.59999999998486,9.59999999998486,9.59999999998486,9.59999999998486,4.95087716035487e-11,70.7539916681821,1.94572512311683e-12,1.90732199994938e-12,2.65803436808537e-12,2.65803435731248e-12,2.65803434390226e-12,2.65803434348806e-12,2.65803433287636e-12,2.6580343458097e-12,1.77434150012242e-12,1.77434149810622e-12,1.4049049657548e-12,0
19,3.9999999999841,3.9999999999841,1.09920809578818e-12,1.09920917526522e-12,3.9999999999841,3.9999999999841,1.08727682482258e-12,1.0872766417078e-12,25.2997477204076,25.2997477204075,25.2997477204076,2.53503650559844e-11,2.53503650559844e-11,2.5350365055984e-11,0,9.59999999998486,9.59999999998486,9.59999999998486,9.59999999998486,9.59999999998486,3.51662973564808e-11,79.5507568387793,1.91824331890736e-12,1.88066126923424e-12,2.60109969365717e-12,2.60109963602635e-12,2.60109964710839e-12,2.60109982676414e-12,2.60109965372523e-12,2.60109964012106e-12,1.75286789551216e-12,1.75286792458004e-12,1.38946926975901e-12,0
