hour,storage_soc_01
1,120.000000000697
2,120.0000000029
3,134.520000006356
4,201.479999991167
5,215.999999999995
6,215.999999999973
7,215.999999999979
8,215.999999999975
9,215.999999999971
10,180.673913043287
11,176.326086956167
12,176.326086956207
13,176.326842627094
14,201.260869565309
15,201.260869565395
16,134.956521739145
17,48.0000000000141
18,48.0000000000749
19,48.000000000079
20,48.0000000001147
21,68.8027005504599
22,48.0000000005923
23,48.0000000006338
24,120
