hour,scenario_a_dispatch_total_cost_approx,scenario_b_dispatch_total_cost_approx,scenario_c_dispatch_total_cost_approx,scenario_d_dispatch_total_cost_approx
1,42285.5516657744,43051.6726652663,42285.5516655494,43051.6726652701
2,41894.0139276478,42621.1127271413,41894.0139279387,42621.1127271525
3,41633.8538151479,42334.9378146413,41705.8197156457,42406.9037143875
4,41374.3857396478,42049.4549391413,41705.8197092075,42380.888914295
5,41633.8538151478,42334.9378146413,41705.8197173977,42406.9037144141
6,43221.7344558013,44026.8776553428,43221.7344553638,44026.8776553428
7,47174.7489610702,48109.966160615,47174.7489606614,48109.9661606153
8,51397.1336761289,52462.4248756014,51397.1336756361,52462.4248756016
9,54347.1146115738,55524.3046111015,54347.1146111423,55524.3046111017
10,56826.5453274298,58071.0703269349,55303.4096435743,56547.9346435987
11,55488.8709614814,56719.430960935,55303.4096435743,56533.9696435987
12,54858.8800699429,56063.7150694765,54858.8800695864,56063.7150694775
13,53841.0925729477,54990.6375724765,53970.3689495662,54990.6524677359
14,53340.8139540724,54462.7139536013,53970.3689443251,54951.3312773542
15,54347.1146115741,55524.3046111015,54347.1146116918,55524.3046111034
16,58192.7415814689,59451.2315809349,58192.7415808481,56561.8996435987
17,63839.4903176117,65159.9791564364,63839.490316805,61175.4653804365
18,72436.2570848081,73884.230443571,69114.7068431467,77498.7333069077
19,75329.1849246175,76826.0780829297,71272.8060241885,79844.4676634366
20,69556.9987037039,70957.8321820876,69114.7068380129,75172.7684849223
21,58192.7415814682,59451.2315809349,58192.7415808691,66304.0430393766
22,51397.1336761294,52462.4248756014,51397.1336756672,52145.1257230575
23,47174.7489610702,48109.966160615,47174.7489607796,48109.9661606159
24,43993.3315609348,44824.4895604786,45068.2134130412,45899.3714131352
